dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,formula1,races,year,2,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,constructor_id,4,smallint,NULL,"FOREIGN KEY",formula1,constructors,constructor_id
mysql,formula1,results,driver_id,3,smallint,NULL,"FOREIGN KEY",formula1,drivers,driver_id
mysql,formula1,results,fastest_lap,10,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,fastest_lap_rank,11,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,fastest_lap_speed,13,float,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,fastest_lap_time_ms,12,int,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,grid,5,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,laps,8,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,points,7,float,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,position,6,tinyint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,results,race_id,2,int,NULL,"FOREIGN KEY",formula1,races,race_id
mysql,formula1,results,result_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,formula1,results,status_id,14,smallint,NULL,"FOREIGN KEY",formula1,status,status_id
mysql,formula1,results,time_ms,9,int,NULL,NULL,NULL,NULL,NULL
mysql,formula1,seasons,url,2,varchar,500,NULL,NULL,NULL,NULL
mysql,formula1,seasons,year,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,formula1,sprint_results,constructor_id,4,smallint,NULL,"FOREIGN KEY",formula1,constructors,constructor_id
mysql,formula1,sprint_results,driver_id,3,smallint,NULL,"FOREIGN KEY",formula1,drivers,driver_id
mysql,formula1,sprint_results,fastest_lap,10,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,sprint_results,fastest_lap_rank,11,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,sprint_results,fastest_lap_time_ms,12,int,NULL,NULL,NULL,NULL,NULL
mysql,formula1,sprint_results,grid,5,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,sprint_results,laps,8,smallint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,sprint_results,points,7,float,NULL,NULL,NULL,NULL,NULL
mysql,formula1,sprint_results,position,6,tinyint,NULL,NULL,NULL,NULL,NULL
mysql,formula1,sprint_results,race_id,2,int,NULL,"FOREIGN KEY",formula1,races,race_id
mysql,formula1,sprint_results,result_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,formula1,sprint_results,status_id,13,smallint,NULL,"FOREIGN KEY",formula1,status,status_id
mysql,formula1,sprint_results,time_ms,9,int,NULL,NULL,NULL,NULL,NULL
mysql,formula1,status,status,2,varchar,50,NULL,NULL,NULL,NULL
mysql,formula1,status,status_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sys,sys_config,set_by,4,varchar,128,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_time,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sys,sys_config,value,2,varchar,128,NULL,NULL,NULL,NULL
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
